Rank,Position Rank,Player,Description
1,RB1,Jahmyr Gibbs,"Gibbs is in a good offense; the departure of David Montgomery is huge for Gibbs because of the vacated carries in the offense, and it is safe to say that Isiah Pacheco has been getting worse over the years, efficiency, rushing, and touchdown-wise"
2,WR1,Jamar Chase,Good Offense: Joe Burrow is in line for an MVP-type season with an easy schedule. The Bengals have the 4th easiest schedule for WRs this year
3,RB2,Bijan Robinson,"Not a great offense, but Tua loves checking down the ball to his running backs, and he is one of the few bright spots on the Falcons. This also depends if Penix takes the starting role; if he does, it will be worse for Bijan"
4,WR2,Puka Nacua,"Great offense, but with the addition of Myles Garret makes this already pretty good defense into one of the great defenses in the league, with the addition, the defense might be too good because they would hold other teams to fewer points, and the already great offense would blow teams out early and make the starters have less playing time"
5,WR3,Jaxon Smith-Njigba,"With the departure of Kenneth Walker and the injury to Zach Charbonnet, it seems as if they will lean more pass-heavy than last year, but with the departure of their offensive coordinator, the offense may see regression in the passing and running game"
6,RB3,Christian McCaffrey,"His 2025-2026 fantasy season was ethereal, but over the last 30 years 75% runningbacks with 300+ carries the next season either regressed or got injured, and with his achilles issue still lingering since it has not been resolved he is a massive risk to take in the first round, but if he can give you at least 85% of what he did last year he will still be worth the risk"
7,WR4,Amon-ra St. Brown,"He has the highest floor out of any WR, and he is just a safe pick in the first round"
8,RB4,Jonathon Taylor,"Taylor has the same Oline, but it will be hard for him to top his 23 rushing touchdowns this year"
9,WR5,CeeDee Lamb,"Lamb still put up 1000 yards while missing 4 games last year and leaving one early; he still averaged 14.35 PPG in PPR. Although Pickens outshined him, it is still not out of the picture that CeeDee Lamb can still return to his 2023 self because George Pickens takes most of the attention away from the defence"
10,RB5,James Cook,Cook was the rushing yards leader in the NFL last year. He was great last year and should increase his receiving touchdowns from 2 last year 
11,RB6,Ashton Jeanty,"The Raiders signed Tyler Linderbaum, one of the best centers in the league, and Jackson Powers Johnson is healthy, meaning to say that the offensive line got so much better. With the signing of Klint Kubiak for the head coaching position, the offense itself should get better, and Jeanty should get more receiving work "
12,WR6,Justin Jefferson,"Justin Jefferson will benefit greatly if Kyler Murray starts, but recent news of no clear leader at the Quarterback position between Kyler and Mccarthy it is a toss up wether Jefferson will replicate last season or not"
13,RB7,Saquon Barkley,"The offensive coordinator on the Eagles has said they are planning to give the ball to Saquon 20 carries a game, and with the departure of Aj Brown, they will be a more run-heavy team"
14,RB8,Omarion Hampton,"With the addition of Mike McDaniel as the new offensive coordinator, Hampton will immensely benefit in this new offense, and escpecially because Najee Harris is getting older and will get fewer carries "
15,RB9,De'von Achane,"Achane is the only superstar on this Miami offense. He should get a larger role, but it's questionable if Ollie Gordon will take significant snaps away from Achane because they will probably be down early in games, letting backups try to prove themselves"
16,WR7,AJ Brown,"AJ Brown has the best case to finish as Wr1 for this fantasy football season, but problems are already showing during training camp with him criticizing the offense. He does play in an easy division and is the true alpha WR that Drake Maye needs"
17,RB10,Chase Brown,"Chase Brown has been taking snaps lining up at WR, and he averaged 21 fantasy points per game when Joe Burrow was healthy. Brown should get more catches, and if Burrow is healthy for this season, Brown will be a fantasy monster"
18,WR8,Drake London,"London is a borderline elite receiver, but his quarterback situation is scary to say the least. He either can explode or bust; there is no in between"
19,RB11,Kenneth Walker,"Walker benefits due to his signing with the Chiefs, but he is injury-prone, and finally getting the lead back role with no competition could take a toll on his body. If it doesn't, he will be a cheap high-upside RB1 "
20,RB12,Derrick Henry,"Henry should be better this year because Lamar is back, but the main concern is when he will finally slow down"
21,WR9,Rashee Rice,"Rice looks stiff at training camp, but with no real competition to be the main guy in Kansas City, he is a great option to be a WR1 on any fantasy team"
22,TE1,Brock Bowers,"Bowers did great with Geno Smith as his quarterback last year, and with Geno gone, Kirk Cousins is a huge upgrade for Bowers in this offense, and the addition of Klint Kubiak will transform the offense "
23,RB13,Jeremiyah Love,"News from training camp has been pointing to Allgeier having the lead back role, but Love could be a valuable late bloomer into the season, but it should be a committee for the first couple of weeks"
24,WR10,Nico Collins,Nico Collins is a great Wr1 and will be insanely good if CJ Stroud can play better. Nico will be a great Wr1
25,TE2,Trey McBride,"McBride should still be a top tight end, but they will be down early in games, and they will probably try to develop Jeremiyah Love"
26,RB14,Josh Jacobs,"Jacobs is a great low RB1, but if he gets in trouble for his offseason shenanigans, it will compromise his season"
27,WR11,Chris Olave,"Chris Olave just got paid a huge contract. He is the guy in New Orleans, but with the free agent signing of Travis Etienne, they will run the ball more than last season, and with their early draft pick on Jordan Tyson, he may take a decent chunk of volume away from Chris Olave"
28,WR12,Ladd McConkey,"Ladd McConkey will greatly benefit under Mike McDaniel because he knows how to utilize WRs, and with the sort of emergence of Quentin Johnston, there will be less defensive presence focused on Ladd"
29,WR13,Emka Egbuka,"Emeka Egbuka was amazing last year for the first few games, until his hamstring issue and Baker's overall decline. Mike Evans left, leaving the Buccaneers offense with so many vacated targets. Emeka benefited from a lack of run game and Baker's short MVP run; Emeka should take a step forward this season, but it matters if Baker is not injured."
30,QB1,Josh Allen,"Josh Allen has the highest floor and ceiling for any QB, and he is consistent and rarely injured"
31,WR14,George Pickens,Pickens is in a great air-raid offense and will be a great fantasy high-upside WR2 or low WR1. He averaged 15 PPR PPG with Lamb and 24.2 PPR PPG without him; he will still be a viable WR1 in a top 3 offense
32,WR15,Devonte Smith,"Devonte Smith is the clear Wr1 on his team and has a clear connection with Hurts, but they will be a run-first team, and as I project the offense with the highest percentage of run rate "
33,RB15,Javonte Williams,"Javonte is a great running back for as they are calling it the ""Greatest Offense There Is,"" but they are a pass-heavy team. Javonte will be a high-tier RB2, low-tier RB1. He should get great usage in the red zone like last year"
